Key,File,Type,UsedInMainMenu,NoTranslate,english,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
bbhaUIBlockDamageFactor,UI,Display,,,Block Damage Factor,Blockschadensfaktor,Factor de daño de bloques,Facteur de dégâts des blocs,Fattore di danno dei blocchi,ブロックダメージ係数,블록 피해 계수,Współczynnik obrażeń bloków,Fator de dano de blocos,Коэффициент урона по блокам,Blok hasar katsayısı,方块伤害系数,方塊傷害係數
bbhaTipBlockDamageFactor,UI,Tooltip,,,"Material hardness is inversely proportional to the attacker's block damage, so stronger attacks are able to damage harder materials.","Die Materialhärte ist umgekehrt proportional zum Blockschaden des Angreifers, sodass stärkere Angriffe härtere Materialien beschädigen können.","La dureza del material es inversamente proporcional al daño de bloque del atacante, por lo que los ataques más fuertes pueden dañar materiales más duros.","La dureté du matériau est inversement proportionnelle aux dégâts de bloc de l’attaquant, de sorte que les attaques plus puissantes peuvent endommager des matériaux plus durs.","La durezza del materiale è inversamente proporzionale al danno ai blocchi dell’attaccante, quindi gli attacchi più potenti possono danneggiare materiali più duri.",素材の硬さは攻撃者のブロックダメージに反比例するため、より強力な攻撃はより硬い素材にダメージを与えられます。,재료의 경도는 공격자의 블록 피해에 반비례하므로 더 강한 공격은 더 단단한 재료에도 피해를 줄 수 있습니다.,"Twardość materiału jest odwrotnie proporcjonalna do obrażeń bloków zadawanych przez atakującego, więc silniejsze ataki mogą uszkadzać twardsze materiały.","A dureza do material é inversamente proporcional ao dano de bloco do atacante, então ataques mais fortes conseguem danificar materiais mais duros.","Твёрдость материала обратно пропорциональна урону по блокам атакующего, поэтому более мощные атаки способны повреждать более прочные материалы.","Malzeme sertliği, saldırganın blok hasarıyla ters orantılıdır; bu nedenle daha güçlü saldırılar daha sert malzemelere zarar verebilir.",材料硬度与攻击者的方块伤害成反比，因此更强的攻击能够破坏更坚硬的材料。,材料硬度與攻擊者的方塊傷害成反比，因此更強的攻擊能夠破壞更堅硬的材料。
bbhaUILogging,UI,Display,,,Logging,Protokollierung,Registro,Journalisation,Registrazione,ログ記録,로깅,Rejestrowanie,Registro,Журналирование,Günlükleme,日志记录,日誌記錄
bbhaTipLogging,UI,Tooltip,,,Log messages for fine-tunning and debugging.,Protokollmeldungen zur Feinabstimmung und Fehlerbehebung.,Mensajes de registro para ajuste fino y depuración.,Messages de journal pour le réglage fin et le débogage.,Messaggi di registro per la regolazione fine e il debug.,微調整およびデバッグのためのログメッセージ。,미세 조정 및 디버깅을 위한 로그 메시지.,Komunikaty rejestrowania do dostrajania i debugowania.,Mensagens de registro para ajuste fino e depuração.,Сообщения журнала для тонкой настройки и отладки.,İnce ayar ve hata ayıklama için günlük mesajları.,用于微调和调试的日志消息。,用於微調和除錯的日誌訊息。
bbhaUIAdvancedTab,UI,Display,,,Advanced,Erweitert,Avanzado,Avancé,Avanzato,高度な,고급,Zaawansowane,Avançado,Расширенные,Gelişmiş,高级,進階
bbhaTipAdvancedTab,UI,Tooltip,,,Advanced settings. These can have major effects on gameplay.,Erweiterte Einstellungen. Diese können erhebliche Auswirkungen auf das Gameplay haben.,Configuración avanzada. Estos pueden tener efectos importantes en la jugabilidad.,Paramètres avancés. Ceux-ci peuvent avoir des effets majeurs sur le gameplay.,Impostazioni avanzate. Queste possono avere effetti significativi sul gameplay.,高度な設定。これらはゲームプレイに大きな影響を与える可能性があります。,고급 설정. 이는 게임플레이에 큰 영향을 미칠 수 있습니다.,Zaawansowane ustawienia. Mogą one mieć duży wpływ na rozgrywkę.,Configurações avançadas. Estas podem ter grandes efeitos na jogabilidade.,Расширенные настройки. Они могут существенно повлиять на игровой процесс.,Gelişmiş ayarlar. Bunlar oynanış üzerinde büyük etkilere sahip olabilir.,高级设置。这些可能会对游戏玩法产生重大影响。,進階設定。這些可能會對遊戲玩法產生重大影響。
bbhaUILimitsCat,UI,Display,,,[00FFFF]Limits[-],[00FFFF]Grenzen[-],[00FFFF]Límites[-],[00FFFF]Limites[-],[00FFFF]Limiti[-],[00FFFF]制限[-],[00FFFF]제한[-],[00FFFF]Limity[-],[00FFFF]Limites[-],[00FFFF]Ограничения[-],[00FFFF]Sınırlar[-],[00FFFF]限制[-],[00FFFF]限制[-]
bbhaTipLimitsCat,UI,Tooltip,,,Set limits to damage dealt or taken by enemies when attacking blocks.,Lege Grenzen für den verursachten oder erlittenen Schaden von Gegnern beim Angriff auf Blöcke fest.,Establece límites al daño infligido o recibido por los enemigos al atacar bloques.,Définissez des limites aux dégâts infligés ou subis par les ennemis lorsqu’ils attaquent des blocs.,Imposta limiti ai danni inflitti o subiti dai nemici quando attaccano blocchi.,ブロックを攻撃する際の敵の与えるダメージや受けるダメージに制限を設定します。,적이 블록을 공격할 때 가하거나 받는 피해에 제한을 설정합니다.,Ustaw limity obrażeń zadawanych lub otrzymywanych przez przeciwników podczas atakowania bloków.,Defina limites para o dano causado ou recebido pelos inimigos ao atacar blocos.,Установите ограничения на наносимый или получаемый врагами урон при атаке блоков.,Düşmanların bloklara saldırırken verdiği veya aldığı hasara sınırlar belirleyin.,设置敌人在攻击方块时造成或受到的伤害上限。,設定敵人在攻擊方塊時造成或受到的傷害上限。
bbhaUIMinDamageDealt,UI,Display,,,Min Damage Dealt (%),Min. verursachter Schaden (%),Daño mínimo infligido (%),Dégâts minimum infligés (%),Danno minimo inflitto (%),最小与ダメージ（%）,최소 가한 피해 (%),Minimalne zadane obrażenia (%),Dano mínimo causado (%),Минимальный наносимый урон (%),Minimum verilen hasar (%),最小造成伤害（%）,最小造成傷害（%）
bbhaTipMinDamageDealt,UI,Tooltip,,,Enemies never deal less than this percentage of damage to blocks.,Gegner verursachen niemals weniger als diesen Prozentsatz an Schaden an Blöcken.,Los enemigos nunca infligen menos de este porcentaje de daño a los bloques.,Les ennemis n’infligent jamais moins que ce pourcentage de dégâts aux blocs.,I nemici non infliggono mai meno di questa percentuale di danni ai blocchi.,敵がブロックに与えるダメージは、この割合を下回ることはありません。,적이 블록에 가하는 피해는 이 비율보다 낮아지지 않습니다.,Przeciwnicy nigdy nie zadają mniej niż ten procent obrażeń blokom.,Os inimigos nunca causam menos do que esta porcentagem de dano aos blocos.,Враги никогда не наносят блокам меньше этого процента урона.,Düşmanlar bloklara asla bu yüzdeden daha az hasar vermez.,敌人对方块造成的伤害绝不会低于该百分比。,敵人對方塊造成的傷害絕不會低於該百分比。
bbhaUIMaxReturnedDamage,UI,Display,,,Max Returned Damage (%),Max. zurückgegebener Schaden (%),Daño máximo devuelto (%),Dégâts maximum renvoyés (%),Danno massimo restituito (%),最大反射ダメージ（%）,최대 반사 피해 (%),Maksymalne obrażenia zwrotne (%),Dano máximo devolvido (%),Максимальный возвращаемый урон (%),Maksimum yansıtılan hasar (%),最大反伤害（%）,最大反傷害（%）
bbhaTipMaxReturnedDamage,UI,Tooltip,,,Enemies never take more than this percentage of damage when attacking blocks.,Gegner erleiden beim Angriff auf Blöcke niemals mehr als diesen Prozentsatz an Schaden.,Los enemigos nunca reciben más de este porcentaje de daño al atacar bloques.,Les ennemis ne subissent jamais plus que ce pourcentage de dégâts lorsqu’ils attaquent des blocs.,I nemici non subiscono mai più di questa percentuale di danni quando attaccano blocchi.,敵がブロックを攻撃する際に受けるダメージは、この割合を超えることはありません。,적이 블록을 공격할 때 받는 피해는 이 비율을 초과하지 않습니다.,Przeciwnicy nigdy nie otrzymują więcej niż ten procent obrażeń podczas atakowania bloków.,Os inimigos nunca sofrem mais do que esta porcentagem de dano ao atacar blocos.,Враги никогда не получают больше этого процента урона при атаке блоков.,Düşmanlar bloklara saldırırken asla bu yüzdeden daha fazla hasar almaz.,敌人在攻击方块时受到的伤害绝不会超过该百分比。,敵人在攻擊方塊時受到的傷害絕不會超過該百分比。
bbhaUIHardnessThresholdCat,UI,Display,,,[00FFFF]Hardness Threshold[-],[00FFFF]Härteschwelle[-],[00FFFF]Umbral de dureza[-],[00FFFF]Seuil de dureté[-],[00FFFF]Soglia di durezza[-],[00FFFF]硬度しきい値[-],[00FFFF]경도 임계값[-],[00FFFF]Próg twardości[-],[00FFFF]Limite de dureza[-],[00FFFF]Порог твёрдости[-],[00FFFF]Sertlik eşiği[-],[00FFFF]硬度阈值[-],[00FFFF]硬度閾值[-]
bbhaTipHardnessThresholdCat,UI,Tooltip,,,"These settings define the threshold used for calculations of damage absorbed and returned by blocks during attacks.\n\nThe curve has two linear steps: from start to middle, and from middle to end.","Diese Einstellungen definieren den Schwellenwert, der für Berechnungen des von Blöcken während Angriffen absorbierten und zurückgegebenen Schadens verwendet wird.\n\nDie Kurve hat zwei lineare Abschnitte: vom Anfang zur Mitte und von der Mitte zum Ende.",Estas configuraciones definen el umbral utilizado para los cálculos del daño absorbido y devuelto por los bloques durante los ataques.\n\nLa curva tiene dos tramos lineales: desde el inicio hasta la mitad y desde la mitad hasta el final.,Ces paramètres définissent le seuil utilisé pour les calculs des dégâts absorbés et renvoyés par les blocs lors des attaques.\n\nLa courbe comporte deux segments linéaires : du début au milieu et du milieu à la fin.,Queste impostazioni definiscono la soglia utilizzata per i calcoli del danno assorbito e restituito dai blocchi durante gli attacchi.\n\nLa curva ha due segmenti lineari: dall’inizio al centro e dal centro alla fine.,これらの設定は、攻撃中にブロックが吸収および反射するダメージの計算に使用されるしきい値を定義します。\n\n曲線は2つの線形区間で構成されています：開始から中間まで、および中間から終了まで。,"이 설정은 공격 중 블록이 흡수하고 되돌려주는 피해를 계산하는 데 사용되는 임계값을 정의합니다.\n\n곡선은 두 개의 선형 구간으로 구성됩니다: 시작에서 중간까지, 그리고 중간에서 끝까지.",Te ustawienia definiują próg używany do obliczeń obrażeń pochłanianych i zwracanych przez bloki podczas ataków.\n\nKrzywa ma dwa odcinki liniowe: od początku do środka oraz od środka do końca.,Essas configurações definem o limite usado para os cálculos do dano absorvido e devolvido pelos blocos durante ataques.\n\nA curva possui duas etapas lineares: do início ao meio e do meio ao fim.,"Эти настройки определяют порог, используемый для расчётов урона, поглощаемого и возвращаемого блоками во время атак.\n\nКривая имеет два линейных участка: от начала до середины и от середины до конца.","Bu ayarlar, saldırılar sırasında bloklar tarafından emilen ve geri döndürülen hasarın hesaplanmasında kullanılan eşiği tanımlar.\n\nEğri iki doğrusal aşamadan oluşur: başlangıçtan ortaya ve ortadan sona.",这些设置定义了在攻击过程中用于计算方块吸收和返还伤害的阈值。\n\n该曲线有两个线性阶段：从起点到中点，以及从中点到终点。,這些設定定義了在攻擊過程中用於計算方塊吸收與返還傷害的閾值。\n\n該曲線有兩個線性階段：從起點到中點，以及從中點到終點。
bbhaUIHardnessThresholdCurveStart,UI,Display,,,Curve Start,Kurvenanfang,Inicio de la curva,Début de la courbe,Inizio della curva,曲線の開始,곡선 시작,Początek krzywej,Início da curva,Начало кривой,Eğri başlangıcı,曲线起点,曲線起點
